Global Batch Size: 4096
Micro Batch Size (B): 128
Number of GPUs: 8
Gradient Accumulation Steps: 4
Decay params: 52 tensors, 86,444,544 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
RESUMING FROM STEP 10001 | New Max LR: 0.001
RESUME DEBUG: Batch Labels: tensor([586,  81, 235, 603, 408, 612, 803, 397,  16,  50])
RESUME DEBUG: Pixel Mean: -0.0127, Std: 1.1915
step 10001 | loss: 6.842347 | lr 8.2919e-04 | norm: 4.9667 | dt: 64493.22ms | img/sec: 63.51
step 10049 | loss: 6.787392 | lr 8.2695e-04 | norm: 2.5502 | dt: 1371.84ms | img/sec: 2985.77
step 10050 | loss: 6.788557 | lr 8.2691e-04 | norm: 1.2322 | dt: 1461.25ms | img/sec: 2803.08
step 10051 | loss: 6.824179 | lr 8.2686e-04 | norm: 47.3485 | dt: 1369.31ms | img/sec: 2991.29
step 10052 | loss: 6.812557 | lr 8.2681e-04 | norm: 1.7091 | dt: 1477.42ms | img/sec: 2772.40
step 10053 | loss: 6.803544 | lr 8.2677e-04 | norm: 29.0677 | dt: 1369.32ms | img/sec: 2991.25
step 10054 | loss: 6.802712 | lr 8.2672e-04 | norm: 1.5043 | dt: 1344.82ms | img/sec: 3045.77
step 10055 | loss: 6.813898 | lr 8.2667e-04 | norm: 2.1697 | dt: 1340.38ms | img/sec: 3055.86
step 10056 | loss: 6.800955 | lr 8.2663e-04 | norm: 2.0110 | dt: 1336.97ms | img/sec: 3063.64
step 10057 | loss: 6.792886 | lr 8.2658e-04 | norm: 9.0387 | dt: 2758.12ms | img/sec: 1485.07
step 10058 | loss: 6.810912 | lr 8.2653e-04 | norm: 6.6914 | dt: 1416.02ms | img/sec: 2892.62
step 10059 | loss: 6.838636 | lr 8.2649e-04 | norm: 18.2078 | dt: 2856.30ms | img/sec: 1434.02
step 10060 | loss: 6.852962 | lr 8.2644e-04 | norm: 3.6452 | dt: 1443.41ms | img/sec: 2837.73
step 10061 | loss: 6.789192 | lr 8.2639e-04 | norm: 2.0330 | dt: 3272.87ms | img/sec: 1251.50
step 10062 | loss: 6.811093 | lr 8.2635e-04 | norm: 2.8740 | dt: 1464.79ms | img/sec: 2796.31
step 10063 | loss: 6.802866 | lr 8.2630e-04 | norm: 3.9560 | dt: 6006.11ms | img/sec: 681.97
step 10064 | loss: 6.798420 | lr 8.2625e-04 | norm: 0.8476 | dt: 1390.48ms | img/sec: 2945.75
step 10065 | loss: 6.824721 | lr 8.2621e-04 | norm: 1.8000 | dt: 1595.41ms | img/sec: 2567.37
step 10066 | loss: 6.830601 | lr 8.2616e-04 | norm: 2.1258 | dt: 4008.40ms | img/sec: 1021.85
step 10067 | loss: 6.767605 | lr 8.2611e-04 | norm: 1.2841 | dt: 1397.79ms | img/sec: 2930.34
step 10068 | loss: 6.815431 | lr 8.2607e-04 | norm: 2.1279 | dt: 1438.21ms | img/sec: 2847.98
step 10069 | loss: 6.818630 | lr 8.2602e-04 | norm: 4.0455 | dt: 1414.38ms | img/sec: 2895.97
step 10070 | loss: 6.800682 | lr 8.2597e-04 | norm: 3.3944 | dt: 1451.71ms | img/sec: 2821.50
step 10071 | loss: 6.809562 | lr 8.2593e-04 | norm: 4.2990 | dt: 1387.32ms | img/sec: 2952.46
step 10072 | loss: 6.803235 | lr 8.2588e-04 | norm: 11.9413 | dt: 1471.49ms | img/sec: 2783.58
step 10073 | loss: 6.806835 | lr 8.2583e-04 | norm: 17.6336 | dt: 1393.87ms | img/sec: 2938.58
step 10074 | loss: 6.796565 | lr 8.2578e-04 | norm: 4.5159 | dt: 1412.45ms | img/sec: 2899.92
step 10075 | loss: 6.784146 | lr 8.2574e-04 | norm: 16.5480 | dt: 3782.19ms | img/sec: 1082.97
step 10076 | loss: 6.799819 | lr 8.2569e-04 | norm: 0.9392 | dt: 4497.52ms | img/sec: 910.72
step 10077 | loss: 6.815863 | lr 8.2564e-04 | norm: 24.4238 | dt: 1417.21ms | img/sec: 2890.19
step 10078 | loss: 6.790281 | lr 8.2560e-04 | norm: 2.2239 | dt: 1999.66ms | img/sec: 2048.34
step 10079 | loss: 6.795861 | lr 8.2555e-04 | norm: 1.3118 | dt: 1453.31ms | img/sec: 2818.40
step 10080 | loss: 6.823861 | lr 8.2550e-04 | norm: 42.0252 | dt: 1472.24ms | img/sec: 2782.16
step 10081 | loss: 6.757116 | lr 8.2546e-04 | norm: 3.3997 | dt: 5387.77ms | img/sec: 760.24
step 10082 | loss: 6.785788 | lr 8.2541e-04 | norm: 10.6185 | dt: 1370.30ms | img/sec: 2989.13
step 10083 | loss: 6.832338 | lr 8.2536e-04 | norm: 2.3997 | dt: 1559.77ms | img/sec: 2626.03
step 10084 | loss: 6.794522 | lr 8.2532e-04 | norm: 11.1349 | dt: 1460.23ms | img/sec: 2805.03
step 10085 | loss: 6.769866 | lr 8.2527e-04 | norm: 15.7997 | dt: 1473.73ms | img/sec: 2779.35
step 10086 | loss: 6.776154 | lr 8.2522e-04 | norm: 3.0125 | dt: 1456.79ms | img/sec: 2811.65
step 10087 | loss: 6.802781 | lr 8.2517e-04 | norm: 14.8325 | dt: 1612.65ms | img/sec: 2539.92
step 10088 | loss: 6.786312 | lr 8.2513e-04 | norm: 1.7738 | dt: 1514.91ms | img/sec: 2703.78
step 10089 | loss: 6.764849 | lr 8.2508e-04 | norm: 2.1014 | dt: 4745.76ms | img/sec: 863.09
step 10090 | loss: 6.762383 | lr 8.2503e-04 | norm: 6.2068 | dt: 1403.88ms | img/sec: 2917.63
step 10091 | loss: 6.781721 | lr 8.2499e-04 | norm: 2.3569 | dt: 1409.10ms | img/sec: 2906.83
step 10092 | loss: 6.807599 | lr 8.2494e-04 | norm: 6.0939 | dt: 3004.59ms | img/sec: 1363.25
step 10093 | loss: 6.800590 | lr 8.2489e-04 | norm: 13.3445 | dt: 6344.95ms | img/sec: 645.55
