Global Batch Size: 4096
Micro Batch Size (B): 1024
Number of GPUs: 1
Gradient Accumulation Steps: 4
/venv/main/lib/python3.12/site-packages/webdataset/compat.py:381: UserWarning: set WebDataset(shardshuffle=...) to a positive integer or 0 or False
  warnings.warn("set WebDataset(shardshuffle=...) to a positive integer or 0 or False")
Decay params: 52 tensors, 86,444,544 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
SOTA SPRINT: Weights successfully mapped (File -> Model).
Resuming from step 96718. Total tensors loaded: 152
step 96718 | loss: 1.827056 | lr 8.0128e-08 | norm: 0.5004 | dt: 34256.52ms | img/sec: 119.57
step 96719 | loss: 1.877620 | lr 1.6026e-07 | norm: 0.5242 | dt: 1671.36ms | img/sec: 2450.69
step 96720 | loss: 1.893753 | lr 2.4038e-07 | norm: 0.5082 | dt: 1645.49ms | img/sec: 2489.23
step 96721 | loss: 1.874560 | lr 3.2051e-07 | norm: 0.5175 | dt: 1658.78ms | img/sec: 2469.29
step 96722 | loss: 1.834820 | lr 4.0064e-07 | norm: 0.5299 | dt: 1659.15ms | img/sec: 2468.74
step 96723 | loss: 1.794170 | lr 4.8077e-07 | norm: 0.5099 | dt: 1656.98ms | img/sec: 2471.97
step 96724 | loss: 1.830394 | lr 5.6090e-07 | norm: 0.5105 | dt: 1659.72ms | img/sec: 2467.89
step 96725 | loss: 1.841200 | lr 6.4103e-07 | norm: 0.5160 | dt: 1640.33ms | img/sec: 2497.06
step 96726 | loss: 1.873619 | lr 7.2115e-07 | norm: 0.5222 | dt: 1650.21ms | img/sec: 2482.11
step 96727 | loss: 1.829925 | lr 8.0128e-07 | norm: 0.5150 | dt: 1646.44ms | img/sec: 2487.79
step 96728 | loss: 1.831150 | lr 8.8141e-07 | norm: 0.5213 | dt: 1662.89ms | img/sec: 2463.18
step 96729 | loss: 1.843968 | lr 9.6154e-07 | norm: 0.5209 | dt: 1652.32ms | img/sec: 2478.94
step 96730 | loss: 1.842545 | lr 1.0417e-06 | norm: 0.5126 | dt: 1656.28ms | img/sec: 2473.01
step 96731 | loss: 1.864594 | lr 1.1218e-06 | norm: 0.5126 | dt: 1660.78ms | img/sec: 2466.31
step 96732 | loss: 1.836479 | lr 1.2019e-06 | norm: 0.5059 | dt: 1643.67ms | img/sec: 2491.98
step 96733 | loss: 1.868680 | lr 1.2821e-06 | norm: 0.5160 | dt: 1657.74ms | img/sec: 2470.83
step 96734 | loss: 1.804135 | lr 1.3622e-06 | norm: 0.4928 | dt: 1664.70ms | img/sec: 2460.50
step 96735 | loss: 1.844822 | lr 1.4423e-06 | norm: 0.5148 | dt: 1663.92ms | img/sec: 2461.66
step 96736 | loss: 1.872480 | lr 1.5224e-06 | norm: 0.5061 | dt: 1652.80ms | img/sec: 2478.21
step 96737 | loss: 1.737970 | lr 1.6026e-06 | norm: 0.5029 | dt: 1706.48ms | img/sec: 2400.27
step 96738 | loss: 1.791475 | lr 1.6827e-06 | norm: 0.5072 | dt: 1655.89ms | img/sec: 2473.59
step 96739 | loss: 1.873664 | lr 1.7628e-06 | norm: 0.5147 | dt: 1645.79ms | img/sec: 2488.77
step 96740 | loss: 1.802849 | lr 1.8429e-06 | norm: 0.5136 | dt: 1653.00ms | img/sec: 2477.91
step 96741 | loss: 1.801335 | lr 1.9231e-06 | norm: 0.5102 | dt: 1655.82ms | img/sec: 2473.70
step 96742 | loss: 1.891363 | lr 2.0032e-06 | norm: 0.5191 | dt: 1659.47ms | img/sec: 2468.26
step 96743 | loss: 1.734653 | lr 2.0833e-06 | norm: 0.4934 | dt: 1661.24ms | img/sec: 2465.62
step 96744 | loss: 1.750740 | lr 2.1635e-06 | norm: 0.5142 | dt: 1663.94ms | img/sec: 2461.63
step 96745 | loss: 1.844747 | lr 2.2436e-06 | norm: 0.4987 | dt: 1660.93ms | img/sec: 2466.08
step 96746 | loss: 1.888707 | lr 2.3237e-06 | norm: 0.5464 | dt: 1649.78ms | img/sec: 2482.75
step 96747 | loss: 1.766376 | lr 2.4038e-06 | norm: 0.5003 | dt: 1746.78ms | img/sec: 2344.89
