Global Batch Size: 4096
Micro Batch Size (B): 1024
Number of GPUs: 1
Gradient Accumulation Steps: 4
/venv/main/lib/python3.12/site-packages/webdataset/compat.py:381: UserWarning: set WebDataset(shardshuffle=...) to a positive integer or 0 or False
  warnings.warn("set WebDataset(shardshuffle=...) to a positive integer or 0 or False")
Decay params: 52 tensors, 86,490,624 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
SOTA SPRINT: Weights successfully mapped (File -> Model).
Resuming from step 105139. Total tensors loaded: 152
step 105187 | loss: 2.530414 | lr 1.9954e-05 | norm: 0.4857 | dt: 2079.58ms | img/sec: 1969.63
step 105188 | loss: 2.543764 | lr 1.9952e-05 | norm: 0.5011 | dt: 2095.78ms | img/sec: 1954.41
step 105189 | loss: 2.498113 | lr 1.9950e-05 | norm: 0.4883 | dt: 2070.21ms | img/sec: 1978.55
step 105190 | loss: 2.462378 | lr 1.9948e-05 | norm: 0.4822 | dt: 2066.27ms | img/sec: 1982.32
step 105191 | loss: 2.497719 | lr 1.9945e-05 | norm: 0.4639 | dt: 2100.40ms | img/sec: 1950.10
step 105192 | loss: 2.501232 | lr 1.9943e-05 | norm: 0.4904 | dt: 2093.76ms | img/sec: 1956.29
step 105193 | loss: 2.533789 | lr 1.9941e-05 | norm: 0.4829 | dt: 2070.25ms | img/sec: 1978.50
step 105194 | loss: 2.522681 | lr 1.9939e-05 | norm: 0.4659 | dt: 2069.94ms | img/sec: 1978.80
step 105195 | loss: 2.507262 | lr 1.9937e-05 | norm: 0.4946 | dt: 2078.98ms | img/sec: 1970.20
step 105196 | loss: 2.468426 | lr 1.9935e-05 | norm: 0.4975 | dt: 2123.25ms | img/sec: 1929.12
step 105197 | loss: 2.544477 | lr 1.9932e-05 | norm: 0.4906 | dt: 2087.75ms | img/sec: 1961.92
step 105198 | loss: 2.506614 | lr 1.9930e-05 | norm: 0.4786 | dt: 2122.84ms | img/sec: 1929.49
step 105199 | loss: 2.503911 | lr 1.9927e-05 | norm: 0.4994 | dt: 2138.89ms | img/sec: 1915.01
step 105200 | loss: 2.489410 | lr 1.9925e-05 | norm: 0.4708 | dt: 2080.80ms | img/sec: 1968.48
step 105201 | loss: 2.483720 | lr 1.9923e-05 | norm: 0.5001 | dt: 2085.34ms | img/sec: 1964.18
step 105202 | loss: 2.536216 | lr 1.9920e-05 | norm: 0.4896 | dt: 2061.54ms | img/sec: 1986.86
step 105203 | loss: 2.494948 | lr 1.9917e-05 | norm: 0.4813 | dt: 2068.46ms | img/sec: 1980.22
step 105204 | loss: 2.475581 | lr 1.9915e-05 | norm: 0.4853 | dt: 2177.51ms | img/sec: 1881.05
step 105205 | loss: 2.496313 | lr 1.9912e-05 | norm: 0.4818 | dt: 2063.13ms | img/sec: 1985.34
step 105206 | loss: 2.515242 | lr 1.9910e-05 | norm: 0.4743 | dt: 2081.59ms | img/sec: 1967.73
step 105207 | loss: 2.519944 | lr 1.9907e-05 | norm: 0.4806 | dt: 2100.65ms | img/sec: 1949.88
step 105208 | loss: 2.505214 | lr 1.9904e-05 | norm: 0.4763 | dt: 2066.20ms | img/sec: 1982.38
step 105209 | loss: 2.478330 | lr 1.9901e-05 | norm: 0.4774 | dt: 2077.38ms | img/sec: 1971.71
step 105210 | loss: 2.495921 | lr 1.9898e-05 | norm: 0.4800 | dt: 2068.73ms | img/sec: 1979.96
step 105211 | loss: 2.520225 | lr 1.9896e-05 | norm: 0.4823 | dt: 2073.39ms | img/sec: 1975.51
step 105212 | loss: 2.485944 | lr 1.9893e-05 | norm: 0.4822 | dt: 2150.00ms | img/sec: 1905.12
step 105213 | loss: 2.488280 | lr 1.9890e-05 | norm: 0.4830 | dt: 2125.57ms | img/sec: 1927.01
step 105214 | loss: 2.483604 | lr 1.9887e-05 | norm: 0.4947 | dt: 2137.50ms | img/sec: 1916.26
step 105215 | loss: 2.422731 | lr 1.9884e-05 | norm: 0.4694 | dt: 2079.76ms | img/sec: 1969.46
step 105216 | loss: 2.511309 | lr 1.9881e-05 | norm: 0.4776 | dt: 2065.89ms | img/sec: 1982.68
step 105217 | loss: 2.461553 | lr 1.9877e-05 | norm: 0.4616 | dt: 2081.28ms | img/sec: 1968.02
step 105218 | loss: 2.408453 | lr 1.9874e-05 | norm: 0.4922 | dt: 2083.33ms | img/sec: 1966.08
step 105219 | loss: 2.490746 | lr 1.9871e-05 | norm: 0.4725 | dt: 2169.09ms | img/sec: 1888.35
step 105220 | loss: 2.496703 | lr 1.9868e-05 | norm: 0.4966 | dt: 2146.06ms | img/sec: 1908.62
step 105221 | loss: 2.438710 | lr 1.9865e-05 | norm: 0.4737 | dt: 2111.45ms | img/sec: 1939.90
step 105222 | loss: 2.507038 | lr 1.9861e-05 | norm: 0.4721 | dt: 2061.84ms | img/sec: 1986.57
step 105223 | loss: 2.562304 | lr 1.9858e-05 | norm: 0.4886 | dt: 2061.56ms | img/sec: 1986.85
step 105224 | loss: 2.489985 | lr 1.9855e-05 | norm: 0.4784 | dt: 2067.87ms | img/sec: 1980.78
step 105225 | loss: 2.413472 | lr 1.9851e-05 | norm: 0.4560 | dt: 2062.73ms | img/sec: 1985.72
step 105226 | loss: 2.416489 | lr 1.9848e-05 | norm: 0.4735 | dt: 2106.16ms | img/sec: 1944.77
step 105227 | loss: 2.474931 | lr 1.9844e-05 | norm: 0.4902 | dt: 2078.13ms | img/sec: 1971.00
step 105228 | loss: 2.463672 | lr 1.9841e-05 | norm: 0.4823 | dt: 2072.73ms | img/sec: 1976.13
step 105229 | loss: 2.469709 | lr 1.9837e-05 | norm: 0.4665 | dt: 2061.44ms | img/sec: 1986.96
step 105230 | loss: 2.434717 | lr 1.9833e-05 | norm: 0.4814 | dt: 2062.48ms | img/sec: 1985.96
