Global Batch Size: 4096
Micro Batch Size (B): 1024
Number of GPUs: 1
Gradient Accumulation Steps: 4
/venv/main/lib/python3.12/site-packages/webdataset/compat.py:381: UserWarning: set WebDataset(shardshuffle=...) to a positive integer or 0 or False
  warnings.warn("set WebDataset(shardshuffle=...) to a positive integer or 0 or False")
Decay params: 52 tensors, 86,444,544 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
SOTA SPRINT: Weights successfully mapped (File -> Model).
Resuming from step 93599. Total tensors loaded: 152
step 93647 | loss: 2.121840 | lr 2.3558e-04 | norm: 2.0265 | dt: 1650.54ms | img/sec: 2481.61
step 93648 | loss: 2.125144 | lr 2.4038e-04 | norm: 1.9181 | dt: 1661.92ms | img/sec: 2464.62
step 93649 | loss: 2.170333 | lr 2.4519e-04 | norm: 1.8653 | dt: 1669.84ms | img/sec: 2452.92
step 93650 | loss: 2.096878 | lr 2.5000e-04 | norm: 1.6984 | dt: 1644.46ms | img/sec: 2490.79
step 93651 | loss: 2.037671 | lr 2.5481e-04 | norm: 1.8327 | dt: 1646.67ms | img/sec: 2487.44
step 93652 | loss: 2.135079 | lr 2.5962e-04 | norm: 2.0029 | dt: 1646.38ms | img/sec: 2487.89
step 93653 | loss: 2.224768 | lr 2.6442e-04 | norm: 1.7939 | dt: 1691.25ms | img/sec: 2421.88
step 93654 | loss: 2.028342 | lr 2.6923e-04 | norm: 2.1260 | dt: 1664.08ms | img/sec: 2461.42
step 93655 | loss: 2.170757 | lr 2.7404e-04 | norm: 1.8142 | dt: 1649.78ms | img/sec: 2482.75
step 93656 | loss: 2.103964 | lr 2.7885e-04 | norm: 2.0690 | dt: 1720.08ms | img/sec: 2381.29
step 93657 | loss: 2.170868 | lr 2.8365e-04 | norm: 1.7725 | dt: 1692.23ms | img/sec: 2420.47
step 93658 | loss: 2.209463 | lr 2.8846e-04 | norm: 1.9620 | dt: 1643.71ms | img/sec: 2491.93
step 93659 | loss: 2.171364 | lr 2.9327e-04 | norm: 1.7691 | dt: 1651.52ms | img/sec: 2480.14
step 93660 | loss: 2.162855 | lr 2.9808e-04 | norm: 1.8672 | dt: 1710.59ms | img/sec: 2394.50
step 93661 | loss: 2.226661 | lr 3.0288e-04 | norm: 2.0919 | dt: 1653.79ms | img/sec: 2476.74
step 93662 | loss: 2.186321 | lr 3.0769e-04 | norm: 1.9218 | dt: 1657.51ms | img/sec: 2471.18
step 93663 | loss: 2.169159 | lr 3.1250e-04 | norm: 2.4816 | dt: 1676.25ms | img/sec: 2443.55
step 93664 | loss: 2.209572 | lr 3.1731e-04 | norm: 2.2923 | dt: 1731.34ms | img/sec: 2365.80
step 93665 | loss: 2.227865 | lr 3.2212e-04 | norm: 1.9230 | dt: 1748.49ms | img/sec: 2342.59
step 93666 | loss: 2.159550 | lr 3.2692e-04 | norm: 1.9768 | dt: 1647.73ms | img/sec: 2485.84
step 93667 | loss: 2.202405 | lr 3.3173e-04 | norm: 1.7406 | dt: 1660.58ms | img/sec: 2466.60
step 93668 | loss: 2.161880 | lr 3.3654e-04 | norm: 2.2173 | dt: 1735.86ms | img/sec: 2359.63
step 93669 | loss: 2.212128 | lr 3.4135e-04 | norm: 1.8624 | dt: 1697.61ms | img/sec: 2412.80
step 93670 | loss: 2.260876 | lr 3.4615e-04 | norm: 1.7740 | dt: 1651.44ms | img/sec: 2480.26
step 93671 | loss: 2.173221 | lr 3.5096e-04 | norm: 2.4431 | dt: 1656.14ms | img/sec: 2473.23
step 93672 | loss: 2.178287 | lr 3.5577e-04 | norm: 1.8648 | dt: 1739.56ms | img/sec: 2354.62
step 93673 | loss: 2.160186 | lr 3.6058e-04 | norm: 1.7684 | dt: 1669.92ms | img/sec: 2452.81
step 93674 | loss: 2.282259 | lr 3.6538e-04 | norm: 2.0764 | dt: 1673.65ms | img/sec: 2447.35
step 93675 | loss: 2.297237 | lr 3.7019e-04 | norm: 2.2699 | dt: 1693.03ms | img/sec: 2419.33
step 93676 | loss: 2.258665 | lr 3.7500e-04 | norm: 2.1696 | dt: 1669.36ms | img/sec: 2453.63
step 93677 | loss: 2.202493 | lr 3.7981e-04 | norm: 1.8671 | dt: 1676.47ms | img/sec: 2443.22
step 93678 | loss: 2.223829 | lr 3.8462e-04 | norm: 1.7682 | dt: 1655.01ms | img/sec: 2474.92
step 93679 | loss: 2.194538 | lr 3.8942e-04 | norm: 1.8659 | dt: 1649.07ms | img/sec: 2483.82
step 93680 | loss: 2.264968 | lr 3.9423e-04 | norm: 1.9772 | dt: 1656.69ms | img/sec: 2472.40
step 93681 | loss: 2.303337 | lr 3.9904e-04 | norm: 1.9589 | dt: 1651.86ms | img/sec: 2479.63
step 93682 | loss: 2.199291 | lr 4.0385e-04 | norm: 1.7282 | dt: 1666.37ms | img/sec: 2458.04
step 93683 | loss: 2.178230 | lr 4.0865e-04 | norm: 1.8890 | dt: 1693.59ms | img/sec: 2418.53
step 93684 | loss: 2.188851 | lr 4.1346e-04 | norm: 1.6335 | dt: 1676.62ms | img/sec: 2443.01
step 93685 | loss: 2.251985 | lr 4.1827e-04 | norm: 1.9176 | dt: 1655.91ms | img/sec: 2473.56
step 93686 | loss: 2.269275 | lr 4.2308e-04 | norm: 1.9889 | dt: 1753.21ms | img/sec: 2336.29
