Global Batch Size: 4096
Micro Batch Size (B): 1024
Number of GPUs: 1
Gradient Accumulation Steps: 4
/venv/main/lib/python3.12/site-packages/webdataset/compat.py:381: UserWarning: set WebDataset(shardshuffle=...) to a positive integer or 0 or False
  warnings.warn("set WebDataset(shardshuffle=...) to a positive integer or 0 or False")
Decay params: 52 tensors, 86,444,544 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
SOTA SPRINT: Weights successfully mapped (File -> Model).
Resuming from step 98277. Total tensors loaded: 152
step 98277 | loss: 3.653289 | lr 8.0128e-07 | norm: 0.9449 | dt: 4331.20ms | img/sec: 945.70
step 98278 | loss: 3.667708 | lr 1.6026e-06 | norm: 1.0096 | dt: 1664.14ms | img/sec: 2461.34
step 98279 | loss: 3.706041 | lr 2.4038e-06 | norm: 0.9662 | dt: 1657.76ms | img/sec: 2470.80
step 98280 | loss: 3.705808 | lr 3.2051e-06 | norm: 0.9674 | dt: 1662.95ms | img/sec: 2463.09
step 98281 | loss: 3.668896 | lr 4.0064e-06 | norm: 0.9567 | dt: 1659.43ms | img/sec: 2468.31
step 98282 | loss: 3.632977 | lr 4.8077e-06 | norm: 0.9247 | dt: 1666.30ms | img/sec: 2458.14
step 98283 | loss: 3.694095 | lr 5.6090e-06 | norm: 0.9677 | dt: 1714.64ms | img/sec: 2388.84
step 98284 | loss: 3.716182 | lr 6.4103e-06 | norm: 0.9247 | dt: 1661.99ms | img/sec: 2464.51
step 98285 | loss: 3.565475 | lr 7.2115e-06 | norm: 0.8573 | dt: 1658.76ms | img/sec: 2469.32
step 98286 | loss: 3.622765 | lr 8.0128e-06 | norm: 0.8783 | dt: 1694.52ms | img/sec: 2417.20
step 98287 | loss: 3.546091 | lr 8.8141e-06 | norm: 0.8157 | dt: 1681.99ms | img/sec: 2435.21
step 98288 | loss: 3.573769 | lr 9.6154e-06 | norm: 0.8109 | dt: 1662.14ms | img/sec: 2464.29
step 98289 | loss: 3.545443 | lr 1.0417e-05 | norm: 0.7705 | dt: 1762.09ms | img/sec: 2324.51
step 98290 | loss: 3.555781 | lr 1.1218e-05 | norm: 0.7957 | dt: 1658.45ms | img/sec: 2469.78
step 98291 | loss: 3.646009 | lr 1.2019e-05 | norm: 0.7969 | dt: 1699.85ms | img/sec: 2409.62
step 98292 | loss: 3.564571 | lr 1.2821e-05 | norm: 0.7129 | dt: 1711.69ms | img/sec: 2392.96
step 98293 | loss: 3.490242 | lr 1.3622e-05 | norm: 0.6835 | dt: 1684.16ms | img/sec: 2432.07
step 98294 | loss: 3.461374 | lr 1.4423e-05 | norm: 0.6401 | dt: 1688.15ms | img/sec: 2426.33
step 98295 | loss: 3.424071 | lr 1.5224e-05 | norm: 0.6286 | dt: 1665.67ms | img/sec: 2459.07
step 98296 | loss: 3.483352 | lr 1.6026e-05 | norm: 0.6254 | dt: 1663.23ms | img/sec: 2462.69
step 98297 | loss: 3.431357 | lr 1.6827e-05 | norm: 0.5810 | dt: 1691.19ms | img/sec: 2421.97
step 98298 | loss: 3.558520 | lr 1.7628e-05 | norm: 0.6186 | dt: 1716.86ms | img/sec: 2385.76
step 98299 | loss: 3.448711 | lr 1.8429e-05 | norm: 0.5837 | dt: 1768.80ms | img/sec: 2315.70
step 98300 | loss: 3.516442 | lr 1.9231e-05 | norm: 0.6073 | dt: 1674.27ms | img/sec: 2446.44
step 98301 | loss: 3.451025 | lr 2.0032e-05 | norm: 0.5710 | dt: 1677.66ms | img/sec: 2441.50
step 98302 | loss: 3.420676 | lr 2.0833e-05 | norm: 0.5399 | dt: 1764.39ms | img/sec: 2321.49
step 98303 | loss: 3.432477 | lr 2.1635e-05 | norm: 0.5402 | dt: 1700.26ms | img/sec: 2409.05
step 98304 | loss: 3.350434 | lr 2.2436e-05 | norm: 0.5465 | dt: 1659.30ms | img/sec: 2468.52
step 98305 | loss: 3.411406 | lr 2.3237e-05 | norm: 0.5230 | dt: 1711.44ms | img/sec: 2393.30
step 98306 | loss: 3.414452 | lr 2.4038e-05 | norm: 0.5423 | dt: 1694.97ms | img/sec: 2416.57
step 98307 | loss: 3.387793 | lr 2.4840e-05 | norm: 0.5184 | dt: 1755.97ms | img/sec: 2332.62
step 98308 | loss: 3.333236 | lr 2.5641e-05 | norm: 0.4922 | dt: 1736.43ms | img/sec: 2358.86
step 98309 | loss: 3.406125 | lr 2.6442e-05 | norm: 0.5068 | dt: 1693.43ms | img/sec: 2418.76
step 98310 | loss: 3.454272 | lr 2.7244e-05 | norm: 0.4940 | dt: 1717.04ms | img/sec: 2385.51
step 98311 | loss: 3.338631 | lr 2.8045e-05 | norm: 0.4897 | dt: 1662.27ms | img/sec: 2464.10
step 98312 | loss: 3.366601 | lr 2.8846e-05 | norm: 0.4880 | dt: 1701.85ms | img/sec: 2406.79
step 98313 | loss: 3.298707 | lr 2.9647e-05 | norm: 0.4534 | dt: 1704.14ms | img/sec: 2403.56
step 98314 | loss: 3.289830 | lr 3.0449e-05 | norm: 0.4540 | dt: 1660.66ms | img/sec: 2466.50
step 98315 | loss: 3.408733 | lr 3.1250e-05 | norm: 0.4599 | dt: 1718.93ms | img/sec: 2382.88
step 98316 | loss: 3.392233 | lr 3.2051e-05 | norm: 0.4541 | dt: 1679.17ms | img/sec: 2439.30
step 98317 | loss: 3.404063 | lr 3.2853e-05 | norm: 0.4690 | dt: 1716.21ms | img/sec: 2386.66
step 98318 | loss: 3.294878 | lr 3.3654e-05 | norm: 0.4506 | dt: 1666.23ms | img/sec: 2458.25
step 98319 | loss: 3.396065 | lr 3.4455e-05 | norm: 0.4505 | dt: 1690.86ms | img/sec: 2422.43
step 98320 | loss: 3.338221 | lr 3.5256e-05 | norm: 0.4367 | dt: 1668.39ms | img/sec: 2455.07
step 98321 | loss: 3.370955 | lr 3.6058e-05 | norm: 0.4526 | dt: 1668.55ms | img/sec: 2454.82
step 98322 | loss: 3.318326 | lr 3.6859e-05 | norm: 0.4637 | dt: 1680.65ms | img/sec: 2437.16
step 98323 | loss: 3.306687 | lr 3.7660e-05 | norm: 0.4548 | dt: 1713.29ms | img/sec: 2390.72
step 98324 | loss: 3.324616 | lr 3.8462e-05 | norm: 0.4330 | dt: 1664.70ms | img/sec: 2460.51
step 98325 | loss: 3.382185 | lr 3.9263e-05 | norm: 0.4359 | dt: 1669.52ms | img/sec: 2453.40
step 98326 | loss: 3.290544 | lr 4.0064e-05 | norm: 0.4344 | dt: 1699.75ms | img/sec: 2409.77
step 98327 | loss: 3.361614 | lr 4.0865e-05 | norm: 0.4661 | dt: 1666.59ms | img/sec: 2457.72
step 98328 | loss: 3.235986 | lr 4.1667e-05 | norm: 0.4248 | dt: 1663.73ms | img/sec: 2461.94
step 98329 | loss: 3.333839 | lr 4.2468e-05 | norm: 0.4435 | dt: 1693.33ms | img/sec: 2418.90
step 98330 | loss: 3.358778 | lr 4.3269e-05 | norm: 0.4405 | dt: 1667.26ms | img/sec: 2456.72
step 98331 | loss: 3.313236 | lr 4.4071e-05 | norm: 0.4399 | dt: 1713.59ms | img/sec: 2390.31
step 98332 | loss: 3.290668 | lr 4.4872e-05 | norm: 0.4337 | dt: 1657.87ms | img/sec: 2470.64
step 98333 | loss: 3.315870 | lr 4.5673e-05 | norm: 0.4194 | dt: 1658.20ms | img/sec: 2470.15
step 98334 | loss: 3.310123 | lr 4.6474e-05 | norm: 0.4334 | dt: 1662.40ms | img/sec: 2463.90
step 98335 | loss: 3.317604 | lr 4.7276e-05 | norm: 0.4371 | dt: 1690.50ms | img/sec: 2422.94
step 98336 | loss: 3.292151 | lr 4.8077e-05 | norm: 0.4246 | dt: 1675.98ms | img/sec: 2443.94
step 98337 | loss: 3.280030 | lr 4.8878e-05 | norm: 0.4154 | dt: 1662.97ms | img/sec: 2463.06
step 98338 | loss: 3.239312 | lr 4.9679e-05 | norm: 0.4150 | dt: 1665.65ms | img/sec: 2459.10
step 98339 | loss: 3.320212 | lr 5.0481e-05 | norm: 0.4267 | dt: 1756.98ms | img/sec: 2331.27
step 98340 | loss: 3.310909 | lr 5.1282e-05 | norm: 0.4200 | dt: 1665.39ms | img/sec: 2459.48
step 98341 | loss: 3.264289 | lr 5.2083e-05 | norm: 0.4160 | dt: 1715.79ms | img/sec: 2387.24
step 98342 | loss: 3.332870 | lr 5.2885e-05 | norm: 0.4314 | dt: 1664.24ms | img/sec: 2461.19
step 98343 | loss: 3.246593 | lr 5.3686e-05 | norm: 0.4304 | dt: 1722.45ms | img/sec: 2378.01
step 98344 | loss: 3.223232 | lr 5.4487e-05 | norm: 0.4199 | dt: 1690.93ms | img/sec: 2422.34
step 98345 | loss: 3.272520 | lr 5.5288e-05 | norm: 0.4165 | dt: 1706.72ms | img/sec: 2399.92
